ID,CODE,VALID_FROM,VALID_UNTIL,SNAME,LNAME
1000546,DM,2/26/2013,1/1/2036,341,Boulder / Anschutz Campus
1161794,L29,1/1/1970,1/1/2036,458,29/36  S Federal-Littleton
89,89,1/1/1970,5/11/2014,89,Stapleton/Anschutz Campus
1161795,L30,1/1/1970,1/1/2036,457,30/30L/31 S. Federal combined
1025151,BB01,2/26/2013,1/1/2036,901,30th/Dwn TO 18th & Cal
1161796,L79,1/1/1970,1/1/2036,456,79L/83L Leetsdale Limited
1161797,X2,1/1/1970,1/1/2036,459,2X/5X Federal Center Station
12,12,2/26/2013,1/1/2036,12,Downing / N Washington
1161798,BB41,1/1/1970,1/1/2036,941,Southmoor TO University
1161799,XAT,1/1/1970,1/1/2036,461,ABA/AF/AT Airport & 40th
1000594,YL,2/26/2013,1/1/2036,352,Lyons / Longmont
1103842,RNLX,4/6/2013,1/1/2036,711,Boulder Loop Extra
1103844,86R,4/6/2013,7/2/2016,705,Broomfield/Wstm Cntr PnR
1255207,RMLX,1/1/1970,1/1/2036,710,Metro Loop Extra
1278572,Q00,1/1/1970,1/1/2036,900,10th/Osage to 30th/Downing
1278573,Q01,1/1/1970,1/1/2036,901,Convention Center to 30th/Downing
1278574,Q02,1/1/1970,1/1/2036,902,18th/California to 30th/Downing
1278575,Q03,1/1/1970,1/1/2036,903,25th/Welton to 30th/Downing
1278576,GMCR,1/1/1970,1/1/2036,696,Green Mountain Call-n-Ride
1278577,XCV,1/1/1970,6/1/2013,459,CV/EV/KC Federal Center Station
1278578,Q11,1/1/1970,1/1/2036,911,I-25/Broadway to 10th/Osage
1278579,Q12,1/1/1970,8/16/2015,912,10th/Osage to 18th & California
1278580,Q13,1/1/1970,1/1/2036,913,10th/Osage to Convention Center
1000510,AF,4/28/2013,1/1/2036,519,Downtown / DIA
50,50,1/1/1970,1/1/2036,50,Lakes Crosstown
1278581,Q20,1/1/1970,1/1/2036,920,Mineral to I-25/Broadway
1278582,Q21,1/1/1970,1/1/2036,921,Mineral to Englewood
1278583,Q22,1/1/1970,1/1/2036,922,Oxford to I-25/Broadway
1278584,Q31,1/1/1970,4/24/2016,931,I-25/Broadway to 10th/Osage
1278585,Q32,1/1/1970,1/1/2036,932,Auraria West to Union Station
1278586,Q33,1/1/1970,1/1/2036,933,10t/Osage to Union Station
1278587,Q34,1/1/1970,7/6/2013,934,Decatur/Federal o Union Station
1278588,Q40,1/1/1970,1/1/2036,940,Southmoor to I-25/Broadway
1278589,Q41,1/1/1970,1/1/2036,941,Southmoor to University
