ID,CODE,VALID_FROM,VALID_UNTIL,SNAME,LNAME
7700788,BR60,9/1/2017,9/2/2017,814,US85 & Bridge St. Broncos-US85
7700811,BR64,9/1/2017,9/2/2017,817,Ward Road Broncos-WARD
7700778,BR6,9/1/2017,9/2/2017,815,Wadsworth-Hampden Broncos-WADS
7700822,BR8,9/1/2017,9/2/2017,810,Olde Town Arvada  Broncos-OLDE
7700781,BR98,9/1/2017,9/2/2017,823,Metro Loop Extra Broncos-BMLX
7700785,BR99,9/1/2017,9/2/2017,824,Northern Loop Extra Broncos-BNLX
7700689,LD,9/1/2017,9/2/2017,366,Longmont / Denver
7700690,LX,9/1/2017,9/2/2017,367,Longmont I-25 Express
1000570,169L,9/2/2017,9/3/2017,669,Buckley / Denver Airport
206,206,9/2/2017,9/3/2017,206,Boulder Junction/ Fairview H.S.
