DATETIME_OCCURRED,INC_ID,VEHICLE_ID,ROUTE,DELAY_MINUTES,SYMP_SYMPTOM,DESCRIPTION
6/28/2018 6:23:00 AM,2467514,5122,27,20,0038,BROKEN MIRROR; PULL OUT DELAY; -20 MIN
6/28/2018 2:29:00 AM,2467341,6087,169,27,0022,CHECK ENGINEý AND STOP ENGINEý AND LOW COOLANT LIGHT ON AND BUS IS STOPPED. EAST METRO MECHANICS WILL TRADE BUS. BUS RAN TRIP LATE
6/27/2018 10:19:00 PM,2467327,2087,3,3,0505,NO START // LAST TRIP // CURTAILED TRIP // CALLED T TRUCK 317//WILL PULL IN OK NOW
6/27/2018 8:56:00 PM,2467295,LRV292,101,8,3134,LRV 292 HAS A BLOWER FAULT WOULD NOT CLEAR HAD TO TRADE TRAINS AT BROADWAY.   CAB B
6/27/2018 6:47:00 PM,2467289,6183,72,44,0030,REAR DOOR WOULD NOT CLOSE; -44 MIN
6/27/2018 7:38:00 PM,2467279,6023,43,15,0610,BUS STALLED A COUPLE OF TIMES / OP ST CNTR PARK / T-391 / MLX 11 WILL MEET OP CNTR PARK
6/27/2018 2:27:00 PM,2467249,2152,43,171,0022,STOP ENGINE LIGHT / BUS SIDETRACKED AT CENTRAL PARK 240PM/ T391/ MLX 7 BUS 6023 PICKED UP 521PM
6/27/2018 5:45:00 PM,2467231,5061,12,10,0022,OP FIRE ALARM WENT OFF AND BUS SHUT DOWN / CALLED FT / FT SENDING TRUCK / BUS 5046 DOING SPACE AT 549 AT DOWNING PARK
6/27/2018 4:23:00 PM,2467174,LRV210,101,10,3100,LRV210 C-TRUCK. FRICTN BRK FAULT. BRAKES LOCKED. KEY OUT/IN DID NOT CLEAR. CUT OUT VIA ROTARY. CUT LRV AT DUS.   CAB A
6/27/2018 2:46:00 PM,2467166,6309,21,140,0022,DEF FLUID LOW ALARM CAME ON / NO T-TRUCK AVAILABLE AT EM / EM WAS TO SEND PARTS TRUCK WITH DEF FLUID / NO ATTACHMENT AVAILABLR TI FILL UP/ ADVISED OP TO HEAD OVER TO EM TO REFILL D
6/27/2018 2:09:00 PM,2467147,5004,31,59,0160,FLAT TIRE; -82 MIN
6/27/2018 3:38:00 PM,2467140,5246,38,19,0022,LOW HYDRAULIC FLUID LIGHT; -19 MIN
6/27/2018 1:32:00 PM,2467139,6309,21,109,0022,STILL NEEDS DIESEL EXHAUST FLUID. TRUCK SENT BUS TO DIVISIONý REPAIRED AND RE-SPACED TO EVANS STATION 427 PM E/BOUND ON TIME.
6/27/2018 3:19:00 PM,2467130,LRV301,101,3,3123,HVAC FAULTý NO VODý REPORTS OF BEING SLUGGISH. EARLY CUT AT LINC.   CAB A
6/27/2018 3:14:00 PM,2467126,LRV246,101,6,3100,246-Bý FRICTION BRK FAULT WITH LOCK UP. KEY DWN / UP. TWO MORE TIMES. CUT AT LINC   CAB B
6/27/2018 12:55:00 PM,2467120,6048,0,93,0022,COOLANT LIGHT ý STOP ENGINEý ; OPERATOR SHUT DOWNý RESTART FOR COOLDOWNý; TRADEDý RE-SPACED TO BROADWAY / MINERAL N/B LATE.
6/27/2018 12:06:00 PM,2467071,5129,100,88,0012,SEAT WOULD NOT RAISE; DROPPED 1.5 TRIPS; -123 MIN
6/27/2018 12:06:00 PM,2467030,6286,48,56,0030,REAR DOOR PROBLEM. OP DEADHEAD TO PL RR TO CHECK RUBBER SEAL. EB TRIP LOST RE-SPACED TP 72ND-COLORADO. LOST 0:56
6/27/2018 11:17:00 AM,2467028,1401,48,58,0505,NO START / T-391 / OP WILL WRITE UP IN DOT BOOK / OP WILL DEADHEAD TO RLF PNT
6/27/2018 11:01:00 AM,2467004,5196,209,18,0022,LOW ENGINE OIL LIGHT; DROPPED 1 TRIP; -16 MIN
6/27/2018 10:33:00 AM,2466994,3950,324,35,0012,SEAT WOULD NOT LOWER; -28 MIN
6/27/2018 6:55:00 AM,2466955,3907,324,56,0505,NO START; -56 MIN
6/27/2018 6:27:00 AM,2466913,6124,6,10,0610,ALARM CHECK ENGN MIL/RUN LATE
6/27/2018 5:28:00 AM,2466877,5034,31,17,0022,LOW FLUID WARNING LIGHT AND LEAK; -17 MIN
6/27/2018 4:30:00 AM,2466871,6024,16,31,0405,BUS HAS A COOLANT LEAK AND IS SIDE TRACKED. PLATTE MECHANIC WILL RESPOND. BUS WAS TRADED AND RE-SPACED TO DECATUER FEDERAL AT 5:23
6/27/2018 3:31:00 AM,2466689,6075,105,42,0405,THERE IS A STOP ENGINE LIGHT AND LOW COOLANT WARNING LIGHT ON. THERE APPEARS TO BE COOLANT LEAKING FROM THE BACK END OF THE BUS AS WELL. BUS IS CURRENTLY SIDE TRACKED AT SOUTH MOOR
6/26/2018 4:05:00 PM,2466654,3922,27,60,0610,BUS DIED -60 MINS
6/26/2018 6:58:00 PM,2466651,6283,15,96,0022,STOP ENG LIGHT / EM RR TRADED
6/26/2018 6:33:00 PM,2466620,1402,14,15,0022,LOW FUEL LIGHT CAME ON AND WENT OFF AGAIN / BUS STOPPED RUNNING / T-391
6/26/2018 5:10:00 PM,2466591,3659,FF7,26,0160,THE STREET SIDE REAR OUTSIDE TIRE IS FLAT.
6/26/2018 5:49:00 PM,2466589,6130,31,55,0022,CHECK ENGINE -55 MINS
6/26/2018 6:10:00 PM,2466585,LRV285,101,13,3100,LRV 285 THE REPLACEMENT TRAIN FROM 4`S LAST BREAKDOWN. FRICTION BRAKE CENTER TRUCK WITH BCUý WOULD NOT CLEAR CUT C TRUCKý REPLACE CONSIST AT I-25.   CAB A
6/26/2018 6:15:00 PM,2466577,LRV208,101,10,3100,LRV-208 FRICTION BRK FAULTý C-TRK LOCKED UP. CUT OUT TO GET IN STATION. CLEARED AND CAME BACK. CUT LRV OFF BDW.   CAB A
6/26/2018 2:25:00 PM,2466563,5008,402,60,0022,STOP ENGINE -60 MINS
6/26/2018 4:37:00 PM,2466545,6193,12,15,0610,STOP ENGINE -15 MINS
6/26/2018 3:05:00 PM,2466534,6162,28,48,0610,ENGINE DIED OUT -48 MINS
6/26/2018 4:56:00 PM,2466531,1991,J,15,0605,OP SAID BUS HAS LOW POWER / OP SAID HE WILL LIMP BUS BACK TO DIV / OP WILL WRITE UP IN DOT BOOK
6/26/2018 10:47:00 AM,2466528,6318,43,294,0610,THE ENGINE IS LOOSING POWERý AND THE ENGINE DIES OUT PERIODICALLY. T391. RE-SPACED TO WB MLK BLVD/COLORADO BLVD LEAVE TIME 15:41. TIME MISSED FROM 10:47A - 3:41P
6/26/2018 8:19:00 AM,2466376,6328,0,17,0610,ST MLX 10 TRD WAIT FOR TRK RESP DUS 944/GOOD BUS 1109
6/26/2018 6:46:00 AM,2466262,3642,FF,43,0625,OP REPORTED / OIL LEAK AND SMOKE / SIDE TRACKED / T-391 DISPATCHED / CALLED FOLLOWER TO PICK UP PAXS / OP TO FILL DOT BOOK / TRIP CURTAILED
6/26/2018 5:31:00 AM,2466178,1662,MALL,48,0028,OPERATOR DOOR IS NOT OPENING PROPERLY. OPERATOR WAS SENT BACK TO THE GARAGE FOR A TRADE.
6/26/2018 5:26:00 AM,2466169,3740,EV,63,0022,MIL/INFO LIGHT ON; AND ONLY GOES TO 4TH GEAR. ADV TO SHUT ENG OFF; NOW THE TRANSMISSION IS CLEARý BUT OPER KEEPS SAYING ITS TOO UNSAFE AND REFUSES TO DRIVE THE BUS.. T391 SAID THE
6/26/2018 6:03:00 AM,2466163,9317,15L,12,0030,OP PULL OUT DIV LATE HAD REAR DOOR ISSUES WOULDN?T SHUT / RUN LATE /CONT RTE / BUS IS GOOD
6/25/2018 5:57:00 PM,2465913,5236,52,51,0022,LOW VOLTAGE LIGHT; BUS DIED; -51 MIN
6/25/2018 5:16:00 PM,2465885,1501,LX,23,0022,STOP ENG AND CK ENG BUS STALLED OUT /PAX PICKED UP BY 3705 CALLED BOULDER T TRUCK TO CK OUT // NO RESPONSE // TOLD OP TO TRY AND GET BUS BACK TO DIV
6/25/2018 5:58:00 PM,2465883,5017,59,81,0505,NO START; BUS BROKE DOWN; -81 MIN
6/25/2018 3:12:00 PM,2465806,6046,0,13,0030,REAR DOOR STUCK SHUT AND CALLED MLX 78 TO TRADE
6/25/2018 3:58:00 PM,2465802,LRV281,101,15,3100,FRICTION BRAKE FAULT LRV 281 C TRUCK FAULTYý C/O TO ALLOW MOVEMENT OF TRAIN. TRADED OUT CONSIST.   CAB A
6/25/2018 2:23:00 PM,2465757,5008,4,66,0022,CHECK ENGINE; NO LOOP AVAIL; MISSED 2 TRIPS; -66 MIN
6/25/2018 1:47:00 PM,2465752,1402,43,20,0022,NO CHARGE CHECK ENGINE LIGHT - HAD OP CHECK FOR MISSING BELTS - -BUS SIDE TRACKED @ 18TH AND STOUT T391 WILL MEET / 2070 WILL TRADE OUT - WILL LIMP BACK TO PLATTE @1444
6/25/2018 1:23:00 PM,2465749,6280,15,45,0305,THE AIR PRESSURE IS DROPPINGý AND WONT BUILD BACK UP. T316: WILL HAVE TO GO BACK TO THE GARAGE FOR A TRADE. OPERATOR PICKED UP THE SPACE FROM COLFAX AND QUEBEC EB 3:07 PM
6/25/2018 10:33:00 AM,2465730,3731,RX,25,0160,THE CURB SIDE TAG TIRE IS FLAT. MLX ON SPACE FROM CCS LEAVE TIME 12:10.
6/25/2018 11:44:00 AM,2465705,9312,83,47,0610,THE ENGINE KEEPS DYING OUT. RE-SPACED TO CCS LEAVE TIME 13:03. TIME MISSED FROM 11:54 - 12:41.
6/25/2018 8:05:00 AM,2465665,LRV313,101,5,3114,OPER HAD TO LOCK OUT DOOR 4ý LRV313. WOULD NOT CLOSE PROPERLY.   CAB A
6/25/2018 7:08:00 AM,2465658,3657,FF7,4,0150,TAG AXLE WAS MISSING A GREASE COVER.
6/24/2018 6:51:00 AM,2465320,5245,51,7,0022,STOP ENGINEý COOLANTý AND FIRE LIGHT/ BUS IS SIDETRACKED/ CALLED FTCC/ RAN ROUTE 7 MINS LATE
6/24/2018 6:08:00 AM,2465319,6124,48,54,0022,LOW COOLANT MIL STOP ENGINE / SIDE TRACKED @72ND AND COLORADO / TRUCK IN ROUTE / TRADE IN ROUTE / TREADED AND DEAD HEADED TO 113 AND WELTON TO START NB TRIP / TRUCK FOLOWED BACK TO
6/25/2018 10:06:00 AM,2465270,5188,19,20,0022,STOP ENGINEL LOW COOLANT; -20 MIN
6/24/2018 12:02:00 AM,2465054,LRV294,101,3,3106,ATS RECEIVED AT ALAMEDA INBOUND HIGHBLOCK WHILE TRAIN WAS SITTING AT A FAVORABLE SIGNAL   CAB A
6/23/2018 5:43:00 PM,2465050,3925,100,122,0505,NO START -122 MINS
6/23/2018 3:20:00 PM,2464928,1501,AB,55,0022,BUS STALLED ON HWY / CHK ENG STOP ENG LIGHTS CK FOR LEAKS / CALLED PLATTE FOR BUS AND TRK TO GO TO SCENE //ASAP // CURTAILED FIRST TRIP AND CANCELLED TRIP AT 408P// CALLED SS43 TO
6/23/2018 12:59:00 PM,2464818,5148,145X,20,0022,OIL LEAK -20 MINS
6/23/2018 12:42:00 PM,2464806,3645,FF,56,0047,HOT LUNCH IN REAR OF BUS/TO PLATTE FOR TRADE/RLF OP MADE RLF AND WAS DH TO BOULDER FOR EB TRIP/TRIP CANCELLED WB
